"Company Name ","Symbol ","Sector ","Sub-Sector ","Listing Date ","Listing Board "
"Asia Amalgamated Holdings Corporation",AAA,HOLDING FIRMS,HOLDING FIRMS,1973/03/22,Main Board
"Atok-Big Wedge Co., Inc.",AB,MINING & OIL,MINING,1948/01/08,Main Board
"AbaCore Capital Holdings, Inc.",ABA,HOLDING FIRMS,HOLDING FIRMS,1987/10/28,Main Board
"Asiabest Group International Inc.",ABG,HOLDING FIRMS,HOLDING FIRMS,1979/07/10,Main Board
"ABS-CBN Corporation",ABS,SERVICES,MEDIA,1992/07/08,Main Board
"ABS-CBN Holdings Corporation - Philippine Deposit Receipts",ABSP,SERVICES,MEDIA,1999/10/07,Main Board
"Ayala Corporation",AC,HOLDING FIRMS,HOLDING FIRMS,1976/11/08,Main Board
"Acesite (Phils.) Hotel Corporation",ACE,SERVICES,HOTEL & LEISURE,1986/12/05,Main Board
"ACEN CORPORATION",ACEN,INDUSTRIAL,ELECTRICITY/ENERGY/POWER/WATER,1970/01/05,Main Board
"ACEN Corporation Perpetual Series A Preferred Shares",ACENA,INDUSTRIAL,ELECTRICITY/ENERGY/POWER/WATER,2023/09/01,Main Board
"ACEN Corporation Perpetual Series B Preferred Shares",ACENB,INDUSTRIAL,ELECTRICITY/ENERGY/POWER/WATER ,2023/09/01,Main Board
"Ayala Corporation Preferred Class ``A`` Shares",ACPA,HOLDING FIRMS INDEX,HOLDING FIRMS,2008/11/25,Main Board
"Ayala Corporation Non-Voting Perpetual Preferred A Shares",ACPAR,HOLDING FIRMS,HOLDING FIRMS,2023/05/29,Main Board
"Ayala Corporation Class ``B`` Series 1 Preferred Shares",ACPB1,HOLDING FIRMS INDEX,HOLDING FIRMS,2006/07/21,Main Board
"Ayala Corporation Class ``B`` Series 3 Preferred Shares",ACPB3,HOLDING FIRMS INDEX,HOLDING FIRMS,2024/10/15,Main Board
"Ayala Corporation Class ``B`` Series 4 Preferred Shares",ACPB4,HOLDING FIRMS INDEX,HOLDING FIRMS,2025/06/19,Main Board
"Alsons Consolidated Resources, Inc.",ACR,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,1993/04/12,Main Board
"Aboitiz Equity Ventures, Inc.",AEV,HOLDING FIRMS INDEX,HOLDING FIRMS,1994/11/16,Main Board
"Alliance Global Group, Inc.",AGI,HOLDING FIRMS INDEX,HOLDING FIRMS,1999/04/19,Main Board
"Alliance Global Group, Inc. Warrants",AGIW,HOLDING FIRMS INDEX,HOLDING FIRMS,2025/12/19,Main Board
"Arthaland Corporation",ALCO,PROPERTY INDEX,PROPERTY,1996/03/19,Main Board
"Arthaland Corporation Series ``D`` Preferred Shares",ALCPD,PROPERTY,PROPERTY,2021/12/03,Main Board
"Arthaland Corporation Series ``F`` Preferred Shares",ALCPF,PROPERTY INDEX,PROPERTY,2024/11/14,Main Board
"Anchor Land Holdings, Inc.",ALHI,PROPERTY INDEX,PROPERTY,2007/08/08,Main Board
"Ayala Land, Inc.",ALI,PROPERTY INDEX,PROPERTY,1991/07/05,Main Board
"AllDay Marts, Inc.",ALLDY,SERVICES,RETAIL,2021/11/03,Main Board
"AyalaLand Logistics Holdings Corp.",ALLHC,PROPERTY,PROPERTY,1990/02/28,Main Board
"Alternergy Holdings Corporation",ALTER,INDUSTRIAL,ELECTRICITY/ENERGY/POWER/WATER,2023/03/24,Main Board
"Alternergy Holdings Corporation Preferred Shares 2 – Series A",ALTP2,INDUSTRIAL,ELECTRICITY/ENERGY/POWER/WATER,2024/03/22,Main Board
"AgriNurture, Inc.",ANI,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2009/05/25,Main Board
"A. Soriano Corporation",ANS,HOLDING FIRMS INDEX,HOLDING FIRMS,1973/10/25,Main Board
"Aboitiz Power Corporation",AP,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2007/07/16,Main Board
"Ayala Corporation Class ``B`` Series 2 Preferred Shares",APB2R,HOLDING FIRMS INDEX,HOLDING FIRMS,2019/11/29,Main Board
"APC Group, Inc.",APC,SERVICES INDEX,OTHER SERVICES,1994/03/08,Main Board
"Apollo Global Capital, Inc.",APL,SERVICES INDEX,INFORMATION TECHNOLOGY,2012/10/18,Main Board
"Anglo Philippine Holdings Corporation",APO,HOLDING FIRMS INDEX,HOLDING FIRMS,1959/07/31,Main Board
"Altus Property Ventures, Inc.",APVI,PROPERTY,PROPERTY,2020/06/26,Main Board
"Apex Mining Co., Inc.",APX,MINING & OIL INDEX,MINING,1974/03/07,Main Board
"Abra Mining & Industrial Corporation",AR,MINING & OIL INDEX,MINING,1969/12/24,Main Board
"Araneta Properties, Inc.",ARA,PROPERTY INDEX,PROPERTY,1989/11/14,Main Board
"AREIT, Inc.",AREIT,PROPERTY INDEX,PROPERTY,2020/08/13,Main Board
"Raslag Corp.",ASLAG,INDUSTRIAL,ELECTRICITY/ENERGY/POWER/WATER,2022/06/06,Main Board
"Atlas Consolidated Mining and Development Corporation",AT,MINING & OIL INDEX,MINING,1970/11/17,Main Board
"Asian Terminals, Inc.",ATI,SERVICES INDEX,TRANSPORTATION SERVICES,1996/01/25,Main Board
"ATN Holdings, Inc. ``A``",ATN,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,1970/09/24,Main Board
"ATN Holdings, Inc. ``B``",ATNB,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,1970/09/24,Main Board
"Asia United Bank Corporation",AUB,FINANCIALS INDEX,BANKS,2013/05/17,Main Board
"Axelum Resources Corp.",AXLM,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2019/10/07,Main Board
"Balai Ni Fruitas Inc.",BALAI,SME,SME,2022/06/30,SME Board
"Benguet Corporation ``A``",BC,MINING & OIL INDEX,MINING,1950/01/04,Main Board
"Benguet Corporation ``B``",BCB,MINING & OIL INDEX,MINING,1950/01/04,Main Board
"Berjaya Philippines, Inc.",BCOR,SERVICES INDEX,RETAIL,1948/11/29,Main Board
"Benguet Corporation - 8% Cumulative Convertible Preferred A",BCP,MINING & OIL INDEX,MINING,1974/05/29,Main Board
"BDO Unibank, Inc.",BDO,FINANCIALS,BANKS,2002/05/21,Main Board
"Belle Corporation",BEL,SERVICES INDEX,CASINOS & GAMING,1977/02/02,Main Board
"BHI Holdings, Inc.",BH,HOLDING FIRMS INDEX,HOLDING FIRMS,1966/11/02,Main Board
"Boulevard Holdings, Inc.",BHI,SERVICES INDEX,HOTEL & LEISURE,1997/04/28,Main Board
"Bright Kindle Resources & Investments Inc.",BKR,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,1995/03/21,Main Board
"Bloomberry Resorts Corporation",BLOOM,SERVICES INDEX,CASINOS & GAMING,2000/10/17,Main Board
"Bogo-Medellin Milling Co., Inc.",BMM,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1950/11/16,Main Board
"Bank of Commerce",BNCOM,FINANCIALS,BANKS,2022/03/31,Main Board
"Bank of the Philippine Islands",BPI,FINANCIALS INDEX,BANKS,1971/10/12,Main Board
"A Brown Company, Inc.",BRN,PROPERTY INDEX,PROPERTY,1994/02/08,Main Board
"A Brown Company, Inc. Series A Preferred Shares",BRNP,PROPERTY,PROPERTY,2021/11/29,Main Board
"A Brown Company, Inc. Series B Preferred Shares",BRNPB,PROPERTY INDEX,PROPERTY,2024/02/23,Main Board
"A Brown Company, Inc. Series C Preferred Shares",BRNPC,PROPERTY INDEX,PROPERTY,2024/02/23,Main Board
"Basic Energy Corporation",BSC,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,1973/10/16,Main Board
"Chelsea Logistics and Infrastructure Holdings Corp.",C,SERVICES INDEX,TRANSPORTATION SERVICES,2017/08/08,Main Board
"Concrete Aggregates Corp. ``A``",CA,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,1972/10/20,Main Board
"Concrete Aggregates Corp. ``B``",CAB,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,1973/04/02,Main Board
"Central Azucarera de Tarlac, Inc.",CAT,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1977/04/12,Main Board
"China Banking Corporation",CBC,FINANCIALS INDEX,BANKS,1927/09/01,Main Board
"Cityland Development Corporation",CDC,PROPERTY INDEX,PROPERTY,1983/08/02,Main Board
"Cebu Air, Inc.",CEB,SERVICES INDEX,TRANSPORTATION SERVICES,2010/10/26,Main Board
"Cebu Air, Inc. Convertible Preferred Shares",CEBCP,SERVICES,TRANSPORTATION SERVICES,2021/03/29,Main Board
"Crown Equities, Inc.",CEI,PROPERTY INDEX,PROPERTY,1994/08/16,Main Board
"Centro Escolar University",CEU,SERVICES INDEX,EDUCATION,1986/11/10,Main Board
"Concreat Holdings Philippines, Inc.",CHP,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,2016/07/18,Main Board
"Concepcion Industrial Corporation",CIC,INDUSTRIAL INDEX,ELECTRICAL COMPONENTS & EQUIPMENT,2013/11/27,Main Board
"Cebu Landmasters, Inc.",CLI,PROPERTY INDEX,PROPERTY,2017/06/02,Main Board
"Cebu Landmasters, Inc. Series A-1 Preferred Shares",CLIA1,PROPERTY INDEX,PROPERTY,2024/04/12,Main Board
"Cebu Landmasters, Inc. Series A-2 Preferred Shares",CLIA2,PROPERTY INDEX,PROPERTY,2024/04/12,Main Board
"Century Pacific Food, Inc.",CNPF,,,2014/05/06,Main Board
"Converge Information and Communications Technology Solutions, Inc.",CNVRG,SERVICES INDEX,INFORMATION TECHNOLOGY,2020/10/26,Main Board
"Coal Asia Holdings Incorporated",COAL,MINING & OIL INDEX,MINING,2012/10/23,Main Board
"COL Financial Group, Inc.",COL,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,2006/07/12,Main Board
"Cosco Capital, Inc.",COSCO,HOLDING FIRMS INDEX,HOLDING FIRMS,1988/09/26,Main Board
"Century Properties Group Inc.",CPG,PROPERTY INDEX,PROPERTY,1976/06/16,Main Board
"Century Properties Group, Inc. Preferred A Shares",,PROPERTY INDEX,PROPERTY,2020/01/10,Main Board
"Century Properties Group, Inc. Preferred B Shares",CPGPB,PROPERTY INDEX,PROPERTY,2024/02/22,Main Board
"Century Peak Holdings Corporation",CPM,MINING & OIL INDEX,MINING,2009/10/06,Main Board
"Citicore Renewable Energy Corporation",CREC,INDUSTRIAL,ELECTRICITY/ENERGY/POWER/WATER,2024/06/07,Main Board
"Citicore Energy REIT Corp.",CREIT,PROPERTY,PROPERTY,2022/02/22,Main Board
"Crown Asia Chemicals Corporation",CROWN,INDUSTRIAL INDEX,CHEMICALS,2015/04/27,Main Board
"Citystate Savings Bank, Inc.",CSB,FINANCIALS INDEX,BANKS,2002/01/03,Main Board
"CTS Global Equity Group, Inc.",CTS,SME,SME,2022/04/13,SME Board
"Cyber Bay Corporation",CYBR,PROPERTY INDEX,PROPERTY,1991/03/19,Main Board
"DoubleDragon Corporation",DD,PROPERTY INDEX,PROPERTY,2014/04/07,Main Board
"DDMP REIT, Inc.",DDMPR,PROPERTY,PROPERTY,2021/03/24,Main Board
"DoubleDragon Properties Corp. Preferred Shares",DDPR,PROPERTY INDEX,PROPERTY,2016/07/26,Main Board
"Del Monte Pacific Limited",DELM,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2013/06/10,Main Board
"DFNN, Inc.",DFNN,SERVICES INDEX,INFORMATION TECHNOLOGY,2000/10/30,Main Board
"Dominion Holdings, Inc.",DHI,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,1997/01/06,Main Board
"DITO CME Holdings Corp.",DITO,SERVICES INDEX,TELECOMMUNICATIONS,1975/10/01,Main Board
"Dizon Copper-Silver Mines, Inc.",DIZ,MINING & OIL INDEX,MINING,1988/02/10,Main Board
"DMCI Holdings, Inc.",DMC,HOLDING FIRMS INDEX,HOLDING FIRMS,1995/12/18,Main Board
"DMCI Holdings, Inc. - Cumulative Convertible Preferred",DMCP,HOLDING FIRMS INDEX,HOLDING FIRMS,1997/04/07,Main Board
"Del Monte Pacific Limited U.S. Dollar-Denominated Series A-1 Preference Shares",DMPA1,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2017/04/07,Main Board
"Del Monte Pacific Limited U.S. Dollar-Denominated Series A-2 Preference Shares",DMPA2,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2017/12/15,Main Board
"D.M. Wenceslao & Associates, Incorporated",DMW,PROPERTY INDEX,PROPERTY,2018/06/29,Main Board
"PHILAB HOLDINGS CORP.",,SME,SMALL/MEDIUM/EMERGING BOARD,2009/09/03,SME Board
"D&L Industries, Inc.",DNL,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2012/12/12,Main Board
"PLDT INC. -USD",DTEL,SERVICES INDEX,TELECOMMUNICATIONS,2003/07/16,Main Board
"Discovery World Corporation",DWC,SERVICES INDEX,HOTEL & LEISURE,2013/11/21,Main Board
"Easycall Communications Philippines, Inc.",ECP,SERVICES INDEX,INFORMATION TECHNOLOGY,1992/05/05,Main Board
"East Coast Vulcan Mining Corporation",ECVC,MINING & OIL INDEX,MINING,1970/08/31,Main Board
"EEI Corporation",EEI,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,1975/07/21,Main Board
"EEI Corporation Series A Preferred Shares",EEIPA,INDUSTRIAL,CONSTRUCTION/INFRA/ALLIED SERVICES,2021/12/23,Main Board
"EEI Corporation Series B Preferred Shares",EEIPB,INDUSTRIAL,CONSTRUCTION/INFRA/ALLIED SERVICES,2021/12/23,Main Board
"EEI Corporation Series D Preferred Shares",EEIPD,INDUSTRIAL,CONSTRUCTION/INFRA/ALLIED SERVICES,2026/02/24,Main Board
"IP E-Game Ventures, Inc.",EG,SERVICES INDEX,CASINOS & GAMING,2010/02/17,Main Board
"Everwoods Green Resources and Holdings, Inc.",EGRN,PROPERTY INDEX,PROPERTY,1996/09/16,Main Board
"Empire East Land Holdings, Inc.",ELI,PROPERTY INDEX,PROPERTY,1996/06/28,Main Board
"Emperador Inc.",EMI,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2011/12/19,Main Board
"ENEX Energy Corp.",ENEX,MINING & OIL INDEX,OIL,2014/08/28,Main Board
"Euro-Med Laboratories Phil., Inc.",EURO,INDUSTRIAL INDEX,CHEMICALS,1998/07/02,Main Board
"East West Banking Corporation",EW,FINANCIALS INDEX,BANKS,2012/05/07,Main Board
"First Abacus Financial Holdings Corp.",FAF,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,1994/11/17,Main Board
"San Miguel Food and Beverage, Inc.",FB,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1971/10/28,Main Board
"San Miguel Food and Beverage, Inc. - Preferred",FBP,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2011/03/03,Main Board
"San Miguel Food and Beverage, Inc. Perpetual Preferred Shares Series ``2``",FBP2,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2015/03/12,Main Board
"Figaro Culinary Group, Inc.",FCG,INDUSTRIAL,FOOD/BEVERAGE/TOBACCO,2022/01/24,Main Board
"Filinvest Development Corporation",FDC,HOLDING FIRMS INDEX,HOLDING FIRMS,1982/12/22,Main Board
"Filinvest Development Corporation Series A Preferred Shares",FDCPA,HOLDING FIRMS INDEX,HOLDING FIRMS,2025/08/08,Main Board
"Filinvest Development Corporation Series B Preferred Shares",FDCPB,HOLDING FIRMS INDEX,HOLDING FIRMS,2025/08/08,Main Board
"Ferronoux Holdings, Inc.",FERRO,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,2013/08/13,Main Board
"Far Eastern University, Incorporated",FEU,SERVICES INDEX,EDUCATION,1986/07/11,Main Board
"Filipino Fund, Inc.",FFI,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,1995/09/27,Main Board
"First Gen Corporation",FGEN,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2006/02/10,Main Board
"First Gen Corporation Series ``G`` Preferred Shares",FGENG,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2012/05/17,Main Board
"Filinvest REIT Corp.",FILRT,FILINVEST REIT CORP.,PROPERTY,2021/08/12,Main Board
"F&J Prince Holdings Corporation ``A``",FJP,HOLDING FIRMS INDEX,HOLDING FIRMS,1982/12/08,Main Board
"F&J Prince Holdings Corporation ``B``",FJPB,HOLDING FIRMS INDEX,HOLDING FIRMS,1982/12/08,Main Board
"Filinvest Land, Inc.",FLI,PROPERTY INDEX,PROPERTY,1993/10/25,Main Board
"First Metro Philippine Equity Exchange Traded Fund, Inc.",FMETF,,ETF-EQUITY,2013/12/02,Main Board
"Global Ferronickel Holdings, Inc.",FNI,MINING & OIL INDEX,MINING,1994/12/14,Main Board
"Alliance Select Foods International, Inc.",FOOD,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2006/11/08,Main Board
"First Philippine Holdings Corporation",FPH,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,1963/05/23,Main Board
"Forum Pacific, Inc.",FPI,HOLDING FIRMS INDEX,HOLDING FIRMS,1994/12/19,Main Board
"Fruitas Holdings, Inc.",FRUIT,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2019/11/29,Main Board
"Filsyn Corporation ``A``",FYN,INDUSTRIAL INDEX,CHEMICALS,1975/06/03,Main Board
"Filsyn Corporation ``B``",FYNB,INDUSTRIAL,CHEMICALS,1975/06/03,Main Board
"GEOGRACE Resources Philippines, Inc.",GEO,MINING & OIL INDEX,MINING,1972/02/07,Main Board
"Global-Estate Resorts, Inc.",GERI,PROPERTY INDEX,PROPERTY,1995/11/23,Main Board
"Globe Telecom, Inc.",GLO,SERVICES INDEX,TELECOMMUNICATIONS,1975/08/11,Main Board
"Globe Telecom, Inc. Series A Non-Voting Preferred Shares",GLOBA,SERVICES INDEX,TELECOMMUNICATIONS,2026/03/02,Main Board
"Globe Telecom, Inc. Series B Non-Voting Preferred Shares",GLOBB,SERVICES INDEX,TELECOMMUNICATIONS,2026/03/02,Main Board
"Globe Telecom, Inc. Series A Voting Perpetual Preferred Shares",GLOPA,SERVICES INDEX,TELECOMMUNICATIONS,2001/06/29,Main Board
"Globe Telecom, Inc. Series A Non-Voting Perpetual Preferred Shares",GLOPP,SERVICES INDEX,TELECOMMUNICATIONS,2014/08/22,Main Board
"GMA Network, Inc.",GMA7,SERVICES INDEX,MEDIA,2007/07/30,Main Board
"GMA Holdings, Inc. - Philippine Deposit Receipts",GMAP,SERVICES INDEX,MEDIA,2007/07/30,Main Board
"Grand Plaza Hotel Corporation",GPH,SERVICES INDEX,HOTEL & LEISURE,1992/12/10,Main Board
"Greenergy Holdings Incorporated",GREEN,INDUSTRIAL INDEX,ELECTRICAL COMPONENTS & EQUIPMENT,1996/09/26,Main Board
"Ginebra San Miguel, Inc.",GSMI,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1995/04/18,Main Board
"GT Capital Holdings, Inc.",GTCAP,HOLDING FIRMS INDEX,HOLDING FIRMS,2012/04/20,Main Board
"GT Capital Holdings, Inc. Non-Voting Perpetual Preferred Shares Series ``A``",GTPPA,HOLDING FIRMS INDEX,HOLDING FIRMS,2016/10/27,Main Board
"GT Capital Holdings, Inc. Non-Voting Perpetual Preferred Shares Series ``B``",GTPPB,HOLDING FIRMS INDEX,HOLDING FIRMS,2016/10/27,Main Board
"House of Investments, Inc.",HI,HOLDING FIRMS INDEX,HOLDING FIRMS,1962/07/02,Main Board
"AllHome Corp.",HOME,SERVICES INDEX,RETAIL,2019/10/10,Main Board
"8990 Holdings, Inc.",,PROPERTY INDEX,PROPERTY,2010/12/09,Main Board
"Haus Talk, Inc.",HTI,SME SECTOR,SME SECTOR,2022/01/17,SME Board
"I-Remit, Inc.",I,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,2007/10/17,Main Board
"International Container Terminal Services, Inc.",ICT,SERVICES INDEX,TRANSPORTATION SERVICES,1992/03/23,Main Board
"Italpinas Development Corporation",IDC,,SMALL/MEDIUM/EMERGING BOARD,2015/12/07,SME Board
"Integrated Micro-Electronics, Inc.",IMI,INDUSTRIAL INDEX,ELECTRICAL COMPONENTS & EQUIPMENT,2010/01/21,Main Board
"Imperial Resources, Inc.",IMP,SERVICES INDEX,INFORMATION TECHNOLOGY,1970/08/31,Main Board
"Philippine Infradev Holdings Inc.",INFRA,PROPERTY INDEX,PROPERTY,1978/02/27,Main Board
"Ionics, Inc.",ION,INDUSTRIAL INDEX,ELECTRICAL COMPONENTS & EQUIPMENT,1995/07/18,Main Board
"IPM Holdings, Inc.",IPM,SERVICES INDEX,OTHER SERVICES,1998/06/17,Main Board
"iPeople, Inc.",IPO,SERVICES INDEX,EDUCATION,1990/01/24,Main Board
"Island Information & Technology, Inc.",IS,SERVICES INDEX,INFORMATION TECHNOLOGY,1988/12/06,Main Board
"Jackstones, Inc.",JAS,PROPERTY INDEX,PROPERTY,1967/10/27,Main Board
"Jollibee Foods Corporation",JFC,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1993/07/14,Main Board
"Jollibee Foods Corporation Non-Voting Perpetual Series A Preferred Shares",JFCPA,INDUSTRIAL,FOOD/BEVERAGE/TOBACCO,2021/10/14,Main Board
"Jollibee Foods Corporation Non-Voting Perpetual Series B Preferred Shares",JFCPB,INDUSTRIAL,FOOD/BEVERAGE/TOBACCO,2021/10/14,Main Board
"JG Summit Holdings, Inc.",JGS,HOLDING FIRMS INDEX,HOLDING FIRMS,1993/08/09,Main Board
"Jolliville Holdings Corporation",JOH,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2002/06/17,Main Board
"The Keepers Holdings, Inc.",KEEPR,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1991/09/03,Main Board
"Keppel Philippines Properties, Inc.",KEP,PROPERTY INDEX,PROPERTY,1989/09/11,Main Board
"KEPPEL PHILIPPINE HOLDINGS, INC. 'A'",,HOLDING FIRMS INDEX,HOLDING FIRMS,1987/08/26,Main Board
"KEPPEL PHILIPPINE HOLDINGS, INC. 'B'",,HOLDING FIRMS INDEX,HOLDING FIRMS,1987/08/26,Main Board
"Kepwealth Property Phils., Inc.",KPPI,,SMALL/MEDIUM/EMERGING BOARD,2019/08/19,SME Board
"City & Land Developers, Incorporated",LAND,PROPERTY INDEX,PROPERTY,1999/12/13,Main Board
"LBC Express Holdings, Inc.",LBC,SERVICES INDEX,TRANSPORTATION SERVICES,2001/12/21,Main Board
"Lepanto Consolidated Mining Company ``A``",LC,MINING & OIL INDEX,MINING,1947/04/30,Main Board
"Lepanto Consolidated Mining Company ``B``",LCB,MINING & OIL INDEX,MINING,1947/04/30,Main Board
"Liberty Flour Mills, Inc.",LFM,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1985/04/25,Main Board
"LMG Corp.",LMG,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,1986/01/07,Main Board
"Lodestar Investment Holdings Corporation",LODE,HOLDING FIRMS INDEX,HOLDING FIRMS,1989/05/26,Main Board
"Pacific Online Systems Corporation",LOTO,SERVICES INDEX,CASINOS & GAMING,2007/04/12,Main Board
"LFM Properties Corporation",LPC,SMALL/MEDIUM/EMERGING BOARD,SMALL/MEDIUM/EMERGING BOARD,2022/11/09,SME Board
"Lopez Holdings Corporation",LPZ,HOLDING FIRMS INDEX,HOLDING FIRMS,1993/11/25,Main Board
"Lorenzo Shipping Corporation",LSC,SERVICES INDEX,TRANSPORTATION SERVICES,1996/07/22,Main Board
"LT Group, Inc.",LTG,HOLDING FIRMS INDEX,HOLDING FIRMS,1947/11/07,Main Board
"Manila Mining Corporation ``A``",MA,MINING & OIL INDEX,MINING,1959/12/17,Main Board
"Manila Mining Corporation ``B``",MAB,MINING & OIL INDEX,MINING,1959/12/17,Main Board
